"Ulpin","OBJECTID_1","M_KHAS_ID","IDS","M_PAR_ID","DIST_NM","SUBDIV_ID","SUBDIV_NM","VILL_ID","VILL_NM","M_KHASRA_R","M_KHASRA_N","M_MIN_NO","TYPE","SUB_TYPE","PAT_PAR","PAT_STS","D_SOURCE","URBANBODY","Remarks","Validated","Date","name_date","VIL_NM_NIC","DIS_NM_NIC","SD_NM_NIC","VIL_CO_NIC","RE_2019","Shape_Leng","Shape_Area","DIS_CEN_CO","SUBD_CEN_C","VILL_CEN_C","M_KH_R","M_KH_N","M_MIN_N"
"86K683DA0T64H0","147","698335.175893115,3170479.53685414","11/20/2","105","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","20/2","0","AGRICULTURE","AGRICULTURE","11/20/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","172.902187286","1372.04876618","96","450","63996","0","","0"
"86K6FADA0T68H0","148","698335.927080297,3170504.58902743","11/20/1","122","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","20/1","0","AGRICULTURE","AGRICULTURE","11/20/1","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","185.367782126","1893.13543854","96","450","63996","0","","0"
"86K6CNDA0TMEH0","149","698386.088412734,3170496.78240407","11/19/2","124","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","19/2","0","AGRICULTURE","AGRICULTURE","11/19/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","173.948651373","1835.31678128","96","450","63996","0","","0"
"86K6D2DA0U2YH0","150","698421.539624652,3170498.59467865","11/19/1","125","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","19/1","1","AGRICULTURE","AGRICULTURE","11/19/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","170.294413477","1747.74662568","96","450","63996","0","","0"
"86K6E6DA0UJ2H0","151","698473.158953891,3170503.20300013","11/18","126","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","18","0","AGRICULTURE","AGRICULTURE","11/18/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","236.852447132","3329.69812831","96","450","63996","0","","0"
"86K6M6DA0T8UH0","152","698342.830641892,3170529.13630506","11/11/2","132","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","11/2","0","AGRICULTURE","AGRICULTURE","11/11/2","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","145.713352238","974.627644386","96","450","63996","0","","0"
"86K6UBDA0TD5H0","153","698354.256572197,3170555.66043665","11/11/1","141","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","11/1","0","AGRICULTURE","AGRICULTURE","11/11/1","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","137.565429917","908.380602387","96","450","63996","0","","0"
"86K6S2DA0TZCH0","154","698391.232301954,3170551.09641642","11/12/1","142","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","12/1","0","AGRICULTURE","AGRICULTURE","11/12/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","209.869265746","2725.96756797","96","450","63996","0","","0"
"86K6SGDA0U4FH0","155","698426.704356824,3170553.13630507","11/12/2","143","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","12/2","0","AGRICULTURE","AGRICULTURE","11/12/2","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","163.431699804","1372.39357583","96","450","63996","0","","0"
"86K6SVDA0UDFH0","156","698454.857147417,3170555.35600394","11/13/1","144","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","13/1","0","AGRICULTURE","AGRICULTURE","11/13/1","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","182.828219729","1917.50740987","96","450","63996","0","","0"
"86K6TGDA0UZBH0","157","698488.693454717,3170558.10539169","11/13/2","146","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","13/2","0","AGRICULTURE","AGRICULTURE","11/13/2","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","187.424766059","2057.71318947","96","450","63996","0","","0"
"86K6U8DA0V19H0","158","698514.319368684,3170561.29953765","11/14/1","147","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","14/1","0","AGRICULTURE","AGRICULTURE","11/14/1","P","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","146.322640204","906.763397907","96","450","63996","0","","0"
"86K5SUDA0T61H0","159","698335.551745997,3170442.83840529","11/21/3","99","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","21","0","AGRICULTURE","AGRICULTURE","11/21/0","P","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","235.32339702","3418.66580138","96","450","63996","0","","0"
"86K5TUDA0TSVH0","160","698403.749323881,3170447.12144516","11/22/2","100","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","22/2","0","AGRICULTURE","AGRICULTURE","11/22/2","P","14-05-2013","MCD","Khasra Polygon Merged","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","26-03-2019","231.857099844","3264.68910433","96","450","63996","0","","0"
"86K600DA0UJ1H0","161","698474.143904903,3170452.91419535","11/23/1","101","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","23","0","AGRICULTURE","AGRICULTURE","11/23/0","GP","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","240.756314391","3574.55764476","96","450","63996","0","","0"
"86K6C9DA0V43H0","162","698523.885319436,3170496.95666896","11/17/1","7","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","17/1","0","WATER BODIES","WELL","11/17/1","G","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","39.6252285952","97.8239182401","96","450","63996","0","","0"
"86K6FVDA0V9MH0","163","698542.044373016,3170511.38996587","11/17/2/1","127","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","17/2","0","AGRICULTURE","AGRICULTURE","11/17/2","G","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","26-03-2019","277.723662329","3324.39863844","96","450","63996","0","","0"
"86K86BDA0S4EH0","164","698232.255638205,3170685.38279403","10/-999","21","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","15","1","0","ABADI","ABADI","1","ABADI","14-05-2013","MCD","Khasra polygon newly created","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","973.324070901","53563.7369312","96","450","63996","0","","0"
"86K61JDA0V9NH0","165","698542.425796864,3170459.9973427","11/24","102","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","24","0","AGRICULTURE","AGRICULTURE","11/24/0","G","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","240.76097079","3556.01424231","96","450","63996","0","","0"
"86K63UDA100YH0","166","698611.602971627,3170468.8885063","11/25","103","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","25","0","AGRICULTURE","AGRICULTURE","11/25/0","G","14-05-2013","MCD","","","","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","244.776663956","3614.60685838","96","450","63996","0","","0"
"86K66TDA10L3H0","167","698679.519203017,3170483.14327677","12/21/1","104","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","12","21","0","AGRICULTURE","AGRICULTURE","12/21/0","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","268.532165508","3238.49898878","96","450","63996","0","","0"
"86K6DMDA100YH0","168","698610.106072218,3170504.37507405","11/16/2","106","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","16/2","0","AGRICULTURE","AGRICULTURE","11/16/2","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","179.37867126","1367.37955172","96","450","63996","0","","0"
"86K6K9DA118MH0","169","698736.052816553,3170531.78947068","12/14/2","111","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","12","19/2","0","AGRICULTURE","AGRICULTURE","12/19/2","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","","175.64793613","1490.24940362","96","450","63996","0","","0"
"86K6LHDA1060H0","170","698611.012638569,3170529.59622235","11/16/1","128","WEST","07070001","PUNJABI BAGH","092","TILANGPUR KOTLA","11","16/1/2","0","AGRICULTURE","AGRICULTURE","11/16/1/2","G","14-05-2013","MCD","Khasra Number Updated","","08.05.2017","","TILANG PUR KOTLA","WEST","PUNJABI BAGH","","26-03-2019","134.569550043","1124.3544507","96","450","63996","0","","0"
